Veces,Palabra
17,profesionales
16,sanitarios
15,autónomas
14,servicios
13,comunidades
12,sanitaria
12,medidas
9,Real
9,Decreto
9,formación
8,Salud
7,marzo
7,Sanidad
7,centros
7,orden
7,1
7,personal
7,comunidad
7,autónoma
7,meses
6,14
6,COVID-19
6,territorio
6,especialista
6,atención
6,Medicina
6,2
6,Ministerio
6,funciones
5,463/2020
5,gestión
5,situación
5,crisis
5,salud
5,artículo
5,autoridades
5,medios
5,establecimientos
5,recursos
5,pruebas
5,efectos
5,prestación
5,asistenciales
5,aplicación
5,residentes
4,reforzar
4,Nacional
4,nacional
4,sanitarias
4,servicio
4,personas
4,duración
4,necesidades
4,humanos
4,contratación
4,puedan
4,miembros
4,Unión
4,Europea
4,año
4,Enfermería
4,autoridad
4,competente
4,reincorporación
4,asistencia
4,sanitario
3,declara
3,alarma
3,ocasionada
3,dirigidas
3,Sistema
3,trabajadores
3,pudiendo
3,ámbito
3,correspondientes
3,posibilidad
3,carácter
3,presente
3,materia
3,garantizar
3,prevé
3,selectivas
3,plazas
3,superado
3,realización
3,prácticas
3,condiciones
3,reconocimiento
3,títulos
3,Ciencias
3,obtenidos
3,voluntariamente
3,jubilación
3,prestar
3,previsto
3,Medidas
3,3
3,4
3,título
3,ejercicio
3,contratados
3,contrato
3,suscriba
3,sucesivos
3,asistencial
3,dispuesto
3,Ley
3,médicos
3,jornada
3,privados
3,competentes
3,necesarias
2,Boletín
2,Oficial
2,contempla
2,serie
2,progresión
2,regula
2,administraciones
2,públicas
2,Ministro
2,protección
2,bienes
2,lugares
2,extraordinarios
2,naturaleza
2,locales
2,adopten
2,determinar
2,real
2,decreto
2,establecimiento
2,suficientes
2,atender
2,distintas
2,2018
2,acceso
2,2019
2,plaza
2,existir
2,Comité
2,teórica
2,teórico
2,459/2010
2,16
2,abril
2,regulan
2,extranjeros
2,jubilados
2,pensión
2,especialidades
2,Familiar
2,Comunitaria
2,curso
2,unidades
2,presten
2,especial
2,excepcional
2,facultativo
2,especialidad
2,Profesionales
2,realizaron
2,especializada
2,6
2,octubre
2,relación
2,prorrogables
2,períodos
2,hayan
2,5
2,caso
2,as
2,setenta
2,activo
2,amparo
2,13
2,solicitar
2,realizará
2,nombramiento
2,relacionadas
2,dispensa
2,sindicales
2,puesto
2,estudiantes
2,medicina
2,enfermería
2,profesional
2,evolución
2,disposición
2,espacios
2,públicos
2,Régimen
2,categoría
2,descanso
2,plazo
2,publicación
2,Ceuta
2,Melilla
2,Contencioso
1,publicado
1,fecha
1,2020
1,proteger
1,seguridad
1,ciudadanos
1,contener
1,enfermedad
1,sistema
1,pública
1,12
1,estableciendo
1,civiles
1,funcionarios
1,quedarán
1,órdenes
1,directas
1,necesario
1,imponerles
1,Añade
1,obstante
1,autonómicas
1,mantendrán
1,competencia
1,asegurando
1,adecuado
1,funcionamiento
1,garantizarán
1,distribución
1,técnicos
1,personales
1,pongan
1,manifiesto
1,referido
1,militar
1,titularidad
1,privada
1,contribuyan
1,marco
1,establecen
1,medias
1,habrán
1,desarrollar
1,tratarán
1,existencia
1,afectadas
1,virus
1,tales
1,Convocatoria
1,Formación
1,Sanitaria
1,Especializada
1,referida
1,prueba
1,obtuvieron
1,número
1,incorporar
1,inmediata
1,pendientes
1,decisión
1,Evaluación
1,superación
1,regulado
1,incorporarse
1,compatibilizando
1,disfrute
1,priorizando
1,ubicación
1,primaria
1,Igualmente
1,nombrados
1,eméritos
1,virtud
1,resuelvo
1,Objeto
1,objeto
1,especiales
1,desarrollo
1,relativas
1,establece
1,prórroga
1,Geriatría
1,Intensiva
1,Interna
1,Preventiva
1,Pública
1,Neumología
1,Pediatría
1,Áreas
1,Específicas
1,Radiodiagnóstico
1,Microbiología
1,Parasitología
1,Geriátrica
1,Pediátrica
1,Quedan
1,suspendidas
1,rotaciones
1,programadas
1,precise
1,refuerzo
1,derivado
1,gestionará
1,solicitudes
1,Administración
1,contando
1,precisen
1,contactará
1,particular
1,solicitado
1,traslado
1,mayores
1,estén
1,mencionadas
1,apartado
1,necesidad
1,Tercero
1,autoriza
1,transitorio
1,Grado
1,Licenciatura
1,carecen
1,siguientes
1,supuestos
1,2018/2019
1,Médicos
1,habiendo
1,puntuación
1,mínima
1,resultaron
1,adjudicatarios
1,modalidad
1,contractual
1,prevista
1,1146/2006
1,laboral
1,residencia
1,especialistas
1,b
1,obtenido
1,incluidos
1,dispongan
1,evaluados
1,positivamente
1,evaluación
1,reguladas
1,citado
1,permitirá
1,desempeño
1,actividad
1,prolongarse
1,máximo
1,valorar
1,disponibilidad
1,facilitará
1,datos
1,contacto
1,constan
1,registros
1,teniendo
1,Orgánica
1,3/2018
1,diciembre
1,Protección
1,Datos
1,Personales
1,garantía
1,derechos
1,digitales
1,procedimiento
1,abierto
1,Universidades
1,habilitarán
1,necesarios
1,finalizar
1,procedimientos
1,Cuarto
1,enfermeros
1,menores
1,años
1,reincorporados
1,emérito
1,nombrado
1,voluntaria
1,Valorada
1,oportunidad
1,estatutario
1,corresponda
1,completa
1,parcial
1,compatible
1,priorizará
1,Atención
1,Primaria
1,disminuir
1,carga
1,realizando
1,triaje
1,domiciliaria
1,Quinto
1,Reincorporación
1,absoluta
1,reincorporarse
1,desempeñar
1,supondrá
1,cese
1,sustituto
1,pudiera
1,Sexto
1,Contratación
1,grados
1,suscribir
1,contratos
1,laborales
1,determinada
1,auxilio
1,destinado
1,grado
1,15.1.a
1,texto
1,refundido
1,Estatuto
1,Trabajadores
1,aprobado
1,Legislativo
1,2/2015
1,23
1,deberá
1,indicar
1,desarrolla
1,calidad
1,apoyo
1,supervisión
1,Séptimo
1,Apertura
1,público
1,interpretación
1,10
1,entienden
1,requiere
1,necesaria
1,resolver
1,problemas
1,desfavorable
1,demora
1,tratamiento
1,Octavo
1,Puesta
1,Administraciones
1,Públicas
1,afectación
1,epidemia
1,adecuadamente
1,población
1,materiales
1,adscritos
1,Mutuas
1,accidentes
1,Noveno
1,Habilitación
1,habilitar
1,reúnan
1,régimen
1,consulta
1,hospitalización
1,Décimo
1,adoptar
1,imponer
1,empleados
1,cualquiera
1,encomienda
1,movilidad
1,geográfica
1,acordarse
1,suspensión
1,temporal
1,exenciones
1,guardias
1,razones
1,edad
1,autorizaciones
1,compatibilidad
1,actividades
1,Asimismo
1,adoptase
1,permisos
1,licencias
1,vacaciones
1,reducciones
1,Deberá
1,garantizarse
1,suma
1,descansos
1,deban
1,conjunto
1,semana
1,inferior
1,promedio
1,jornadas
1,diez
1,deberán
1,adoptarse
1,contribuir
1,correcta
1,dispositivos
1,prevención
1,control
1,seguimiento
1,gradual
1,utilizando
1,racional
1,disponibles
1,mujeres
1,encuentren
1,gestación
1,Undécimo
1,Temporalidad
1,incluidas
1,resultarán
1,inicial
1,entrada
1,vigor
1,prorrogadas
1,titular
1,periodos
1,inferiores
1,función
1,organizativas
1,derivadas
1,Duodécimo
1,Desarrollo
1,ejecución
1,Corresponde
1,dictar
1,resoluciones
1,disposiciones
1,e
1,instrucciones
1,interpretativas
1,esfera
1,específica
1,actuación
1,eficacia
1,Decimotercero
1,Efectos
1,producirá
1,Decimocuarto
1,Ciudades
1,referencias
1,efectuadas
1,entenderán
1,referidas
1,estatal
1,ciudades
1,Decimoquinto
1,pone
1,vía
1,administrativa
1,interponer
1,recurso
1,contencioso
1,administrativo
1,Sala
1,Administrativo
1,Audiencia
1,conformidad
1,11
1,29/1998
1,julio
1,reguladora
1,Jurisdicción
1,Administrativa
1,Madrid
1,15
1,2020.–El
1,Salvador
1,Illa
1,Roca
